entry_id,dish_name,immigrant_community,transformation_type,source_name,source_type,author_background,year_published,url,origin_story_mentioned,origin_story_framing,authenticity_framing,notable_substitutions,community_credit_given,annotation_notes
OC-01,Orange Chicken,Chinese-American,Pure American Invention,Panda Express Official Website,Corporate/Brand,Corporate/Anonymous,2024,https://www.pandaexpress.com/menu/entrees/orange-chicken,No,omitted,not_mentioned,No traditional Chinese equivalent; sweet-sticky American sauce; heavily battered and fried,No,Panda Express positions it as their signature dish with no cultural origin context; no mention that the dish does not exist in China; brand mythology replaces cultural history
OC-02,Orange Chicken,Chinese-American,Pure American Invention,The Woks of Life,Community Food Blog,Community Member,2023,https://thewoksoflife.com/orange-chicken/,Yes,detailed_historical,distanced,Fresh orange peel instead of concentrate; lighter batter; less sugar; technique closer to Chinese frying methods,Yes,Explicitly states this is a Chinese-American invention with no Chinese equivalent; family of Chinese immigrants frames the dish as American-created; provides cultural commentary alongside recipe
OC-03,Orange Chicken,Chinese-American,Pure American Invention,AllRecipes,Mainstream Recipe Aggregator,Unknown/Community,2022,https://www.allrecipes.com/recipe/orange-chicken/,No,omitted,not_mentioned,Bottled orange sauce; cornstarch-heavy batter; high sugar; no technique notes,No,No historical or cultural context; recipe presented as generic; contributor anonymous; most-reviewed version reinforces perception of dish as simply Chinese
OC-04,Orange Chicken,Chinese-American,Pure American Invention,NYT Cooking,Mainstream Recipe Aggregator,Non-Community Food Writer,2024,https://cooking.nytimes.com/recipes/1024510-orange-chicken,Partial,simplified,distanced,Fresh orange juice; slightly reduced sweetness; wok technique mentioned,Partial,Brief headnote acknowledges Chinese-American restaurant origins without deeper history; framed as a better-than-takeout recipe; immigrant labor context absent
OC-05,Orange Chicken,Chinese-American,Pure American Invention,Serious Eats,Food Media,Non-Community Food Writer,2025,https://www.seriouseats.com/the-best-chinese-orange-chicken-recipe,Yes,detailed_historical,dismissed,Citrus acid balance discussed; temperature-controlled double-fry; sauce viscosity tested,Partial,Deep technical dive; acknowledges the dish is an American invention designed for American palates; authenticity treated as beside the point in favor of optimization; community credit partial
OC-06,Orange Chicken,Chinese-American,Pure American Invention,Eater,Food Media,Non-Community Food Writer/Journalist,2023,https://www.eater.com/23603484/panda-express-video-orange-chicken-history,Yes,detailed_historical,contested,N/A (food media article),Partial,"Contextualizes Orange Chicken within broader Chinese-American food history; discusses how immigrant restaurants adapted flavors to survive; explores tension between Chinese-American pride and dismissal of the dish, referring Panda Express"
OC-07,Orange Chicken,Chinese-American,Pure American Invention,TasteAtlas,Reference/Encyclopedia,Unknown/Editorial,2024,https://www.tasteatlas.com/orange-chicken,Yes,simplified,not_mentioned,N/A (reference entry),Partial,Lists as American-Chinese dish; credits Panda Express and Andrew Cherng; geographic origin given as United States; rating and description treat it as a legitimate Chinese-American category without deeper critique
OC-08,Orange Chicken,Chinese-American,Pure American Invention,Bon Appétit,Food Media,Non-Community Food Writer,2025,https://www.bonappetit.com/video/watch/ba-pilot-lucas-sin-x-panda-express,No,omitted,not_mentioned,Store-bought marmalade option; oven-baked variation; reduced oil,No,"Recipe-focused with no cultural framing; presented as comfort food without acknowledging American invention status; hig-end cinematographic video featuring ""Panda Express""'s orange chicken"
OC-09,Orange Chicken,Chinese-American,Pure American Invention,Made With Lau (YouTube),YouTube Cooking Channel,Community Member,2022,https://youtu.be/UwNBfslVRLc?si=y44e1qwH9G1CZkUo,Yes,detailed_historical,reclaimed,Fresh orange zest; balanced sweet-tart sauce; double-fry technique; moderate breading thickness,Yes,Father-son channel run by a Cantonese-American family; explicitly discusses how the dish was engineered for American palates with no Chinese precedent; celebrates it as a Chinese-American creation while teaching the technique with cultural pride; one of the few video sources that foregrounds community voice and generational immigrant perspective
FC-01,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),The Food Timeline,Reference/Encyclopedia,Academic/Journalist,2023,https://www.foodtimeline.org/foodasian.html#fortunecookies,Yes,detailed_historical,claimed,American butter and vanilla absent in Japanese originals; thicker and sweeter than Japanese tsujiura senbei; machine-folded vs. hand-formed,Yes,References Jennifer 8. Lee's research; covers 1983 Court of Historical Review mock trial pitting SF against LA; traces origin to Makoto Hagiwara at Japanese Tea Garden; most rigorous sourcing of any entry in dataset
FC-02,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),Smithsonian Magazine,Food Media/Journalism,Academic/Journalist,2011,https://www.smithsonianmag.com/arts-culture/cracking-open-the-history-of-fortune-cookies-28538557/,Yes,detailed_historical,corrective,N/A (article),Yes,Explicitly discusses Japanese-American origin controversy; notes Chinese-American community adopted the cookie post-WWII when Japanese businesses were shuttered; offers the most historically complete framing of any recipe source
FC-03,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),Red House Spices,Community Food Blog,Community Member,2021,https://redhousespice.com/fortune-cookies/,Yes,detailed_historical,corrective,Eggs and butter in American version; machine-rolled vs. hand-folded in original Japanese versions; vanilla flavoring added,Yes,Detailed history of transformation from Japanese tsujiura senbei to Chinese-American restaurant staple; discusses WWII Japanese internment as key turning point; one of few recipe sites that foregrounds the misattribution
FC-04,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),Eater,Food Media,Non-Community Food Writer/Journalist,2022,https://www.eater.com/22929419/gastropod-why-chinese-american-restaurants-serve-fortune-cookies-history,Yes,detailed_historical,contested,N/A (article),Yes,Discusses competing San Francisco vs. LA origin claims; notes that fortune cookies are foreign to people in China; places story in broader immigrant food history; excellent primary source for this entry
FC-05,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),AllRecipes,Mainstream Recipe Aggregator,Unknown/Community,2023,https://www.allrecipes.com/recipe/275116/homemade-fortune-cookies/,No,omitted,claimed,All-purpose flour; vanilla flavoring; granulated sugar; community-style recipe with no provenance,No,Titled simply Fortune Cookies; presents as Chinese treat with no acknowledgment of Japanese-American origin; actively reinforces the misattribution through omission; most-viewed mainstream recipe
FC-06,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),Food Network,Mainstream Recipe Aggregator,Non-Community Food Writer,2022,https://www.foodnetwork.com/recipes/fortune-cookies-5543742,Partial,mythologized,not_mentioned,Butter-based dough; Western spices; American-style sweetness,No,Vague mention of Chinese tradition with no further detail; no distinction between Japanese and Chinese origin; perpetuates the misattribution through uncritical association with Chinese cuisine
FC-07,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),TasteAtlas,Reference/Encyclopedia,Unknown/Editorial,2024,https://www.tasteatlas.com/fortune-cookie,Yes,simplified,contested,N/A (reference entry),Partial,Lists as American with Chinese-American cultural association; notes contested origins; categorizes it as a Chinese-American food item which itself perpetuates the misattribution even while acknowledging the Japanese origin debate
FC-08,Fortune Cookie,Chinese-American,Misattribution (Japanese-American origin),Food52,Food Media,Non-Community Food Writer,2021,https://food52.com/recipes/26343-toasted-almond-fortune-cookies,Yes,omitted,not_mentioned,N/A (article),Yes,"Innovates the original recipes with ""Toasted Almond"" allegedly; no clear distinction from mainstream recipe except for added almond and renamed."
CP-01,Chicken Parmesan,Italian-American,American Invention (inspired by Italian technique),Lidia's Italy,Community Food Blog,Community Member (Italian-American chef),2023,https://lidiasitaly.com/recipes/chicken-parmigiana/,Yes,detailed_historical,reclaimed,Chicken breast replaces eggplant; abundant mozzarella; American portions; combined in one baked dish,Yes,Lidia Bastianich explicitly discusses how Italian-Americans substituted chicken for eggplant as meat became affordable; frames it as a proud Italian-American tradition; strongest community-insider framing in the Italian-American recipe sources
CP-02,Chicken Parmesan,Italian-American,American Invention (inspired by Italian technique),AllRecipes,Mainstream Recipe Aggregator,Unknown/Community,2023,https://www.allrecipes.com/recipe/223042/chicken-parmesan/,No,omitted,claimed,Jarred marinara; processed mozzarella; thick breading; American-scale portions,No,No cultural framing; titled The Best Chicken Parmesan; implicitly claims Italian authenticity without any historical context; most-reviewed version on the platform
CP-03,Chicken Parmesan,Italian-American,American Invention (inspired by Italian technique),NYT Cooking,Mainstream Recipe Aggregator,Non-Community Food Writer,2022,https://cooking.nytimes.com/recipes/1017169-chicken-parmesan,Partial,simplified,distanced,Fresh mozzarella instead of processed; homemade sauce; lighter breading,Partial,Brief note that the dish is Italian-American rather than Italian; recipe focuses on elevating the classic without deep cultural framing; acknowledges origin but does not explore immigrant labor context
CP-04,Chicken Parmesan,Italian-American,American Invention (inspired by Italian technique),Serious Eats,Food Media,Non-Community Food Writer,2023,https://www.seriouseats.com/the-best-chicken-parmesan-recipe,Yes,detailed_historical,dismissed,Parmesan in breading; San Marzano tomatoes; fresh basil; wok-seared chicken for crispness,Partial,Discusses Italian parmigiana tradition (eggplant/veal) and American chicken substitution; notes authenticity debate but dismisses it in favor of making the best possible version; community context present but secondary
CP-05,Chicken Parmesan,Italian-American,American Invention (inspired by Italian technique),Bon Appétit,Food Media,Non-Community Food Writer,2022,https://www.bonappetit.com/recipe/chicken-parmesan,No,omitted,not_mentioned,Thick mozzarella slices; extra sauce; American-scale portions; no technique notes,No,Presented as classic comfort food with no Italian-American cultural context; exemplifies how immigrant-origin dishes become de-culturalized and aestheticized in mainstream food media
CP-06,Chicken Parmesan,Italian-American,American Invention (inspired by Italian technique),TasteAtlas,Reference/Encyclopedia,Unknown/Editorial,2024,https://www.tasteatlas.com/chicken-parmigiana,Yes,simplified,contested,N/A (reference entry),Partial,Lists as Italian-American; notes eggplant parmigiana as Italian source dish; gives American credit for chicken variation; rated as an Italian-American classic but without exploring the immigrant labor history
CP-07,Chicken Parmesan,Italian-American,American Invention (inspired by Italian technique),Food Network,Mainstream Recipe Aggregator,Non-Community Food Writer,2023,https://www.foodnetwork.com/recipes/tyler-florence/chicken-parmesan-recipe-1951852,No,omitted,claimed,Processed mozzarella; jarred marinara; heavy breading; very large American portions,No,Multiple celebrity chef versions each claiming to be definitive; Italian framing used without acknowledgment of American origin; celebrity authority substitutes for cultural accuracy
CP-08,Chicken Parmesan,Italian-American,American Invention (inspired by Italian technique),Eater,Food Media,Community Member (Italian-American chef),2023,https://www.eater.com/22370142/chef-nyesha-arrington-classic-chicken-parmesan-recipe,Yes,detailed_historical,reclaimed,N/A (article),Yes,Traces the dish from eggplant parmigiana to Italian-American adaptation; discusses immigrant community labor history and why affordable chicken replaced expensive veal; best historical sourcing in this dish's group
SM-01,Spaghetti and Meatballs,Italian-American,Significant Adaptation,Lidia's Italy,Community Food Blog,Community Member (Italian-American chef),2022,https://lidiasitaly.com/recipes/spaghetti-and-meatballs/,Yes,detailed_historical,reclaimed,Large American-style meatballs; combined in one dish; all-meat meatballs without the bread filler common in Italy,Yes,Lidia contextualizes the dish as born of American abundance: meat was affordable in the US when it was a luxury in Italy; celebrates it explicitly as diaspora food; most historically self-aware community source
SM-02,Spaghetti and Meatballs,Italian-American,Significant Adaptation,AllRecipes,Mainstream Recipe Aggregator,Unknown/Community,2023,https://www.allrecipes.com/recipe/21353/italian-spaghetti-sauce-with-meatballs/,No,omitted,claimed,Extra large meatballs; heavy tomato sauce; dried spaghetti; American portions,No,Top-rated recipe with thousands of reviews; zero cultural context; presented as timeless Italian classic despite being an American invention; comment section reinforces claimed Italian authenticity
SM-03,Spaghetti and Meatballs,Italian-American,Significant Adaptation,NYT Cooking,Mainstream Recipe Aggregator,Non-Community Food Writer,2023,https://cooking.nytimes.com/recipes/1016833-spaghetti-and-drop-meatballs-with-tomato-sauce,Yes,simplified,distanced,Combination of pork and beef; fresh herbs; light San Marzano tomato sauce,Partial,Brief acknowledgment that the combined dish is Italian-American; frames it as a beloved classic rather than historically situating the immigrant context; immigrant labor is present but not centered
SM-04,Spaghetti and Meatballs,Italian-American,Significant Adaptation,Serious Eats,Food Media,Non-Community Food Writer,2022,https://www.seriouseats.com/spaghetti-and-meatballs-recipe-8729264,Yes,detailed_historical,dismissed,Panade technique (bread and milk); mixed meats; slow-simmered Sunday gravy; meatballs served separately in Italian tradition,Partial,Detailed food history section noting polpette (Italian meatballs) are not traditionally served with spaghetti; acknowledges combination as American; then dismisses the distinction and focuses on optimization; typical Serious Eats approach
SM-05,Spaghetti and Meatballs,Italian-American,Significant Adaptation,Bon Appétit,Food Media,Non-Community Food Writer,2010,https://www.bonappetit.com/recipe/spaghetti-and-meatballs,No,omitted,not_mentioned,Giant restaurant-style meatballs; jarred San Marzano sauce acceptable; very large portions,No,Photographed beautifully and presented as Italian comfort food; no cultural or historical framing; representative of mainstream food media aestheticization that erases immigrant labor
SM-06,Spaghetti and Meatballs,Italian-American,Significant Adaptation,TasteAtlas,Reference/Encyclopedia,Unknown/Editorial,2024,https://www.tasteatlas.com/spaghetti-and-meatballs,Yes,simplified,contested,N/A (reference entry),Partial,Explicitly categorizes as Italian-American rather than Italian; notes polpette exist separately in Italian cuisine; one of few reference sources to make the Italian vs. Italian-American distinction clear
SM-07,Spaghetti and Meatballs,Italian-American,Significant Adaptation,America's Test Kitchen,Food Media,Non-Community Food Writer,2022,https://www.americastestkitchen.com/recipes/6218-classic-spaghetti-and-meatballs-for-a-crowd,Partial,simplified,distanced,Optimal meat fat ratio scientifically tested; panade technique; tested sauce consistency,No,Focuses entirely on technique; brief origin acknowledgment without immigrant community framing; treats it as American comfort food to be optimized; science-of-cooking approach decontextualizes cultural history
SM-08,Spaghetti and Meatballs,Italian-American,Significant Adaptation,Eater,Food Media,Non-Community Food Writer/Journalist,2021,https://www.eater.com/2019/5/16/18622925/olive-garden-giant-meatball-giant-italian-classic-menu-lol,Yes,omitted,not_mentioned,N/A (article),Yes,Connects the dish to American popular Italian fast food chain Olive Garden; discusses meat abundance as symbol of American adaptation
NA-01,Nachos,Mexican-American,Border Invention (Tex-Mex),The Food Timeline,Reference/Encyclopedia,Academic/Journalist,2024,https://www.foodtimeline.org/foodmexican.html#nachos,Yes,detailed_historical,reclaimed,Homemade tortilla chips; Mexican cheese blend; jalapeños en escabeche; avocado crema,Yes,Discusses Ignacio Nacho Anaya's 1940s invention for American military wives at Piedras Negras; celebrates as a Tex-Mex borderland creation; explicitly distinguishes simple original from commercialized stadium nachos
NA-02,Nachos,Mexican-American,Border Invention (Tex-Mex),AllRecipes,Mainstream Recipe Aggregator,Unknown/Community,2023,https://www.allrecipes.com/recipe/26630/nacho-chip-casserole/,No,omitted,not_mentioned,Processed cheese sauce (Velveeta-style); canned jalapeños; store-bought chips,No,Stadium-style nachos as the uncritical default; zero historical context; recipe is several transformational steps removed from Anaya's original; most-reviewed nacho recipe on the platform
NA-03,Nachos,Mexican-American,Border Invention (Tex-Mex),Food Network,Mainstream Recipe Aggregator,Non-Community Food Writer,2022,https://www.foodnetwork.com/recipes/rachael-ray/super-nachos-recipe-1914057,No,omitted,not_mentioned,Shredded cheddar; sour cream; guacamole; piled high; American party food framing,No,Presented as game-day party food with no connection to Mexican or Tex-Mex cultural origin; the word Mexican does not appear; Tex-Mex context completely absent
NA-04,Nachos,Mexican-American,Border Invention (Tex-Mex),Serious Eats,Food Media,Non-Community Food Writer,2019,https://www.seriouseats.com/the-food-lab-ultimate-fully-loaded-vegan-nacho-recipe,Yes,detailed_historical,reclaimed,Layered chips for even cheese distribution; fresh jalapeños; Mexican cheese blend; technique-driven approach to honor original,Yes,Includes detailed origin of invention; discusses how the dish was mass-commercialize; unusual in combining technical rigor with cultural advocacy
NA-05,Nachos,Mexican-American,Border Invention (Tex-Mex),Eater,Food Media,Community Member (Argetinian chef),2022,https://www.eater.com/2024/7/12/24197119/gaby-melian-steak-mango-chimichurri-nachos,Yes,detailed_historical,reclaimed,N/A (article),Yes,Elevated gourmet nachos recipe; no cultural framing; the elevated framing implicitly treats the original working-class dish as lowbrow; representative of food media gentrification of immigrant-origin foods
NA-06,Nachos,Mexican-American,Border Invention (Tex-Mex),TasteAtlas,Reference/Encyclopedia,Unknown/Editorial,2024,https://www.tasteatlas.com/nachos,Yes,simplified,not_mentioned,N/A (reference entry),Partial,Correctly attributes to Ignacio Anaya in Piedras Negras 1943; classifies as Mexican-American/Tex-Mex; no discussion of the stadium nacho transformation; provides geographic and named credit without deeper cultural analysis
NA-07,Nachos,Mexican-American,Border Invention (Tex-Mex),Texas Monthly,Food Media/Regional,Non-Community Food Writer/Journalist,2024,https://www.texasmonthly.com/recipe/jalapeno-popper-nachos/,No,detailed_historical,reclaimed,N/A (article),Yes,Treats nachos as proud Tex-Mex heritage; provides richest regional political context of any source
NA-08,Nachos,Mexican-American,Border Invention (Tex-Mex),Bon Appétit,Food Media,Non-Community Food Writer,2023,https://www.bonappetit.com/people/our-readers/article/nachos,No,omitted,dismissed,Gourmet toppings; artisanal cheese blend; elevated presentation; multiple proteins,No,Brief mention on Nacho's origin; covers how the traditional recipes is altered to reach fine dining standard
NA-09,Nachos,Mexican-American,Border Invention (Tex-Mex),America's Test Kitchen,Food Media,Non-Community Food Writer,2023,https://www.americastestkitchen.com/recipes/293-cheesy-nachos-with-guacamole-and-salsa,Partial,simplified,distanced,Layered chip-and-cheese architecture tested for even distribution; freshly shredded cheese for better melt; pickled jalapeños preferred over fresh for acidity balance,No,Brief headnote credits this as original traditional recipe; remainder of entry is entirely technique-focused with no further cultural framing; consistent with America's Test Kitchen pattern of acknowledging origin as a single sentence then pivoting entirely to optimization; immigrant community context is present but structurally marginalized
MB-01,Mission Burrito,Mexican-American,American Regional Invention (San Francisco),Chicano Eats,Community Food Blog,Community Member,2022,https://chicanoeats.com/gameday-burrito-bowls/,Yes,omitted,not_mentioned,Rice inside (non-traditional in Mexico); foil-wrapped; oversized flour tortilla; full meal in bowl style (not wrap),No,Traces to 1960s Mission District taquerías; discusses how Mexican immigrants adapted burritos to feed hungry workers affordably; celebrates it as a living and evolving Mexican-American food tradition; best community framing in this group
MB-02,Mission Burrito,Mexican-American,American Regional Invention (San Francisco),AllRecipes,Mainstream Recipe Aggregator,Unknown/Community,2023,https://www.allrecipes.com/recipe/14041/delicious-black-bean-burritos/,No,omitted,not_mentioned,Rice and beans inside; sour cream; large flour tortilla,No,"Generic burrito recipe; Mission-style used as a descriptor without explanation; no regional, cultural, or historical framing; contributor anonymous"
MB-03,Mission Burrito,Mexican-American,American Regional Invention (San Francisco),Chipotle Official Website,Corporate/Brand,Corporate/Anonymous,2024,https://www.chipotle.com/order/build/burrito,No,omitted,claimed,"fully customizable protein, rice; corporate portions; steam-pressed flour tortilla",No,"Chipotle's food with integrity framing sanitizes the working-class immigrant origin; no origin nor any  ""Mexican"" mentioned; purely focus on the restaurant's value"
MB-04,Mission Burrito,Mexican-American,American Regional Invention (San Francisco),Serious Eats,Food Media,Non-Community Food Writer,2025,https://www.seriouseats.com/mission-burrito-love-letter-11789178,Yes,simplified,reclaimed,Foil wrapping technique; rice-to-bean ratio; steamed tortilla; protein options,Yes,Comprehensive guide to Mission-style; discusses Febronio Ontiveros (El Faro 1961) and other Mission District origin claims; contextualizes within SF Mexican-American community history; most research-dense recipe-adjacent source
MB-05,Mission Burrito,Mexican-American,American Regional Invention (San Francisco),Eater,Food Media,Non-Community Food Writer/Journalist,2015,https://www.eater.com/2015/12/4/9835360/la-taqueria-mission-style-burrito-san-francisco,Yes,detailed_historical,contested,N/A (article),Yes,Investigates multiple competing origin claims within the Mission District; discusses how Chipotle's corporate scaling changed public perception of the Mission burrito; includes gentrification analysis and displacement of original taquerías
MB-06,Mission Burrito,Mexican-American,American Regional Invention (San Francisco),San Francisco Chronicle,Food Media/Regional,Non-Community Food Writer/Journalist,2022,https://www.sfchronicle.com/food/restaurants/article/sf-mission-burrito-18416216.php,Yes,detailed_historical,reclaimed,N/A (article),Yes,Local newspaper coverage of Mission District food culture; interviews with taquería owners; discusses displacement of original establishments by gentrification; strongest inclusion of actual community voices of any source in this group
MB-07,Mission Burrito,Mexican-American,American Regional Invention (San Francisco),TasteAtlas,Reference/Encyclopedia,Unknown/Editorial,2024,https://www.tasteatlas.com/mission-burrito,Yes,simplified,not_mentioned,N/A (reference entry),Partial,Lists as American/Californian food; notes San Francisco Mission District origin; describes key features (foil wrapping; rice inside; large size) without political or cultural framing
MB-08,Mission Burrito,Mexican-American,American Regional Invention (San Francisco),NYT Cooking,Mainstream Recipe Aggregator,Non-Community Food Writer,2020,https://cooking.nytimes.com/recipes/1020528-mission-burrito,Partial,simplified,distanced,Cilantro-lime rice; multiple protein options; tomatillo salsa; flour tortilla,Partial,Recipe includes headnote acknowledging San Francisco origin; frames it as a flexible template rather than a culturally rooted dish; slight acknowledgment but primarily focused on technique and accessibility